student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
171872,16,Male,Psychology,1.5,2.9,2.7,Yes,91.2,7.2,Good,0,High School,Medium,6.2,Yes,4.0,8,4.9,No,2,8.2,Co-Learning Group,Yes,Low,5,6,9,Reading,6.9,100
148469,19,Male,Psychology,5.1,3.1,2.1,No,63.6,5.6,Good,4,High School,High,4.9,No,2.89,1,7.3,No,4,12.0,Library,Yes,Medium,9,4,10,Kinesthetic,7.5,74
135044,25,Other,Business,2.4,2.0,0.0,No,79.2,6.4,Fair,7,Some College,Low,5.8,Yes,3.84,7,3.8,No,4,5.9,Library,Yes,Medium,4,10,5,Visual,3.4,92
139642,22,Male,Psychology,5.7,4.2,0.5,Yes,74.1,8.6,Fair,7,High School,Low,6.7,No,4.0,5,4.7,No,1,11.7,Quiet Room,Yes,Low,1,9,6,Reading,1.9,96
101764,24,Male,Biology,2.8,2.1,2.7,No,94.1,8.5,Good,4,PhD,Low,7.4,No,3.01,4,4.2,No,4,8.0,Quiet Room,No,Medium,6,7,8,Reading,6.0,77
119812,27,Female,Psychology,7.7,3.8,3.3,No,61.3,10.8,Good,7,High School,Low,8.4,No,4.0,2,2.7,No,5,14.8,Co-Learning Group,Yes,Low,1,10,5,Auditory,5.3,100
163359,21,Other,Psychology,2.5,0.4,0.3,Yes,71.7,8.6,Fair,7,Master,Low,10.0,No,3.55,6,5.8,No,0,4.2,Library,No,Medium,10,8,7,Kinesthetic,3.1,98
148077,20,Male,Arts,0.0,3.6,1.4,No,69.1,4.0,Fair,0,Bachelor,Medium,8.1,No,2.4,4,4.2,No,5,5.5,Library,No,Low,10,1,10,Reading,2.9,66
126247,25,Male,Arts,6.1,0.4,2.9,Yes,66.3,5.7,Good,7,Some College,Low,7.2,Yes,3.68,3,4.7,No,0,11.3,Cafe,No,Medium,3,7,8,Visual,7.0,99
104455,17,Female,Engineering,4.4,2.5,3.5,Yes,63.9,7.2,Good,1,PhD,Medium,7.9,No,3.35,1,8.0,No,1,11.6,Cafe,No,Medium,3,4,10,Visual,9.1,80
174764,28,Other,Arts,3.3,2.6,1.1,Yes,46.5,7.5,Poor,4,Master,Medium,9.9,Yes,2.53,7,6.0,No,5,8.3,Cafe,No,Low,10,3,10,Visual,1.2,65
171663,20,Other,Biology,4.8,3.1,1.7,Yes,70.1,8.1,Good,5,High School,High,8.5,Yes,2.86,1,3.6,No,5,11.1,Cafe,Yes,Medium,4,2,10,Reading,4.1,70
176652,24,Female,Arts,3.1,2.7,3.3,Yes,47.5,8.7,Fair,2,Some College,High,8.6,No,3.3,1,5.9,No,4,11.0,Dorm,No,High,10,5,10,Auditory,3.7,76
173809,18,Female,Biology,8.8,3.0,3.5,No,43.7,6.6,Good,5,Bachelor,High,9.1,Yes,4.0,2,4.7,No,1,16.1,Co-Learning Group,Yes,Low,2,4,10,Reading,6.3,100
110085,27,Female,Computer Science,1.6826956270418352,2.5,3.4,No,68.4,5.7,Fair,4,Bachelor,Medium,4.4,Yes,3.0,5,5.5,No,2,7.8,Dorm,No,Low,7,4,10,Reading,9.8,75
172155,22,Female,Business,5.0,0.9,3.2,Yes,58.2,8.4,Good,2,Bachelor,High,4.7,Yes,3.58,2,5.8,No,1,9.6,Co-Learning Group,No,Low,1,10,5,Reading,2.1,86
174448,21,Female,Arts,0.6,0.9,3.6,No,50.1,8.2,Fair,3,High School,Low,7.1,No,3.15,8,6.9,No,3,7.0,Library,Yes,Medium,6,9,6,Kinesthetic,7.5,81
146656,20,Male,Biology,4.9,3.1,3.7,Yes,67.5,7.1,Fair,3,High School,High,7.0,Yes,4.0,5,4.6,No,2,12.2,Co-Learning Group,Yes,Low,1,8,7,Kinesthetic,7.7,94
159067,22,Other,Arts,0.9,0.2,2.4,Yes,94.1,6.0,Good,7,Master,High,2.3,Yes,2.7,5,8.1,Yes,2,5.0,Library,Yes,Low,3,3,10,Reading,4.0,65
100774,18,Other,Psychology,2.4,1.1,0.5,No,44.0,6.3,Good,1,Bachelor,Medium,4.8,Yes,2.63,1,4.3,No,5,5.5,Library,No,High,10,4,10,Visual,7.3,66
151292,19,Female,Biology,4.1,3.3,3.4,Yes,42.3,7.5,Good,2,Some College,Low,9.5,No,2.62,7,6.3,No,2,11.6,Cafe,No,Medium,5,2,10,Visual,2.5,59
160120,28,Male,Psychology,5.1,2.9,2.9,Yes,76.3,7.4,Good,6,Some College,Low,9.3,No,4.0,1,3.7,No,2,12.6,Quiet Room,No,Medium,10,4,10,Visual,4.8,97
121739,19,Other,Arts,1.9,2.8,0.9,No,49.0,9.8,Good,7,PhD,Low,7.5,No,4.0,6,3.1,No,2,6.3,Cafe,Yes,Medium,9,9,6,Kinesthetic,8.0,100
103787,19,Other,Business,1.6,0.3,2.4,No,77.7,8.0,Fair,7,Master,High,4.9,No,3.0,4,7.0,No,0,6.0,Cafe,Yes,Medium,5,8,7,Visual,5.0,71
135632,16,Female,Computer Science,5.376259570415453,0.2,0.1,No,51.8,7.5,Good,3,Some College,High,8.9,No,4.0,5,3.0,No,3,6.9,Cafe,No,High,1,9,6,Auditory,9.3,98
122955,18,Male,Psychology,1.1,4.8,2.7,Yes,42.2,9.3,Poor,1,Bachelor,Medium,7.2,No,4.0,5,6.3,No,1,9.0,Quiet Room,No,Medium,9,7,8,Reading,7.7,97
108293,18,Female,Computer Science,2.751122275360299,0.7,0.6,Yes,85.6,5.9,Fair,4,PhD,Medium,7.6,No,2.67,6,6.8,No,3,4.1,Library,No,High,6,3,10,Auditory,3.4,73
107285,18,Other,Business,4.4,0.3,2.0,Yes,59.6,7.1,Good,7,High School,Medium,7.2,No,4.0,3,4.2,No,0,8.5,Dorm,No,Medium,5,7,8,Visual,7.1,97
134115,19,Female,Business,2.8,1.2,1.7,No,90.7,6.4,Good,3,PhD,Medium,7.5,No,2.43,2,5.0,No,5,5.9,Dorm,No,High,6,4,10,Kinesthetic,5.1,74
162465,16,Female,Business,4.4,1.0,0.7,Yes,49.0,4.3,Good,2,Master,Medium,6.0,Yes,3.72,7,1.0,No,1,7.2,Quiet Room,No,Medium,7,8,7,Visual,1.3,95
112522,27,Other,Psychology,3.8,4.2,2.7,Yes,45.5,6.7,Good,3,Bachelor,High,7.7,Yes,2.14,6,6.1,No,1,10.7,Dorm,No,Medium,5,2,10,Reading,4.8,55
136694,24,Female,Business,5.6,4.3,1.2,No,93.7,8.3,Good,7,Some College,Medium,8.8,Yes,4.0,5,7.1,No,2,11.2,Library,No,High,9,9,6,Kinesthetic,9.1,88
159058,18,Male,Engineering,6.0,0.1,3.6,Yes,45.2,5.3,Good,0,Bachelor,High,6.1,Yes,4.0,5,5.6,No,4,10.4,Dorm,Yes,High,8,10,5,Reading,3.4,95
100649,25,Male,Psychology,4.1,2.5,1.7,Yes,46.2,6.6,Good,1,Some College,Medium,5.8,No,2.72,6,5.1,No,4,9.4,Co-Learning Group,No,Medium,1,4,10,Visual,5.2,62
107854,23,Female,Business,0.4,1.9,2.2,Yes,44.9,6.5,Good,4,Master,High,6.6,No,3.55,8,6.8,No,5,5.2,Dorm,No,Low,2,4,10,Reading,9.4,95
116396,28,Male,Business,3.4,1.2,2.2,Yes,63.5,6.0,Good,0,PhD,Low,6.7,No,4.0,6,6.1,No,2,8.0,Quiet Room,No,Low,3,6,9,Visual,3.7,100
163450,20,Other,Business,5.5,0.6,1.5,No,59.0,8.0,Fair,0,PhD,Medium,10.0,No,3.65,1,5.5,No,1,9.3,Co-Learning Group,Yes,Medium,10,8,7,Auditory,3.0,84
156935,23,Other,Psychology,4.4,3.4,3.0,Yes,51.0,4.8,Poor,2,High School,High,6.0,Yes,2.86,1,3.7,No,1,10.9,Cafe,Yes,High,9,3,10,Kinesthetic,7.8,76
147403,27,Female,Engineering,1.7,0.2,0.2,No,46.2,4.0,Good,3,PhD,Medium,7.4,No,4.0,8,3.3,No,0,2.3,Library,No,Low,3,8,7,Visual,8.3,100
120217,24,Female,Computer Science,1.1319716706438083,4.2,2.7,No,45.6,5.8,Fair,2,High School,High,8.2,Yes,2.45,1,3.3,No,0,10.0,Cafe,Yes,High,2,2,10,Auditory,2.2,55
134239,22,Male,Biology,4.4,0.8,0.8,Yes,78.8,8.5,Poor,1,Some College,Medium,7.7,No,4.0,4,3.9,No,2,7.1,Library,Yes,Low,3,2,10,Auditory,6.6,100
138891,27,Female,Psychology,6.4,0.7,3.0,Yes,80.1,5.5,Good,2,Master,Low,3.6,No,3.65,3,5.2,No,0,12.0,Library,Yes,High,5,9,6,Visual,4.0,93
109017,25,Male,Arts,5.4,2.4,3.0,Yes,50.2,4.9,Good,5,Some College,Low,5.4,Yes,3.73,4,4.9,No,1,12.3,Dorm,Yes,Low,1,2,10,Visual,4.1,93
167738,17,Female,Psychology,2.6,1.9,1.4,Yes,74.6,8.1,Good,4,High School,High,7.0,No,3.98,2,6.6,No,4,6.4,Cafe,No,Medium,1,8,7,Auditory,8.9,94
101554,21,Male,Business,3.9,3.9,2.0,No,75.9,8.9,Fair,7,High School,Medium,9.7,No,4.0,3,3.8,No,1,10.7,Quiet Room,No,Low,5,7,8,Auditory,5.1,100
144383,24,Other,Business,10.7,1.2,0.9,Yes,48.0,4.4,Poor,3,Some College,Medium,8.5,Yes,4.0,4,2.4,No,1,14.1,Co-Learning Group,Yes,High,4,10,5,Kinesthetic,6.1,100
123475,17,Male,Computer Science,6.446624938153518,2.8,4.0,Yes,58.3,5.2,Good,4,High School,High,7.4,Yes,3.87,1,6.0,No,4,14.0,Dorm,No,High,3,3,10,Reading,8.1,100
125979,22,Female,Computer Science,6.531072926188752,4.9,3.0,Yes,76.8,8.5,Fair,4,High School,High,5.1,No,4.0,7,3.9,No,4,15.0,Co-Learning Group,No,High,7,9,6,Visual,7.9,99
147369,26,Other,Business,4.6,4.9,1.6,No,99.7,5.1,Good,6,Some College,Low,7.6,Yes,4.0,1,7.9,No,3,12.1,Library,No,Medium,7,10,5,Auditory,3.2,99
151372,21,Other,Biology,1.9,4.5,0.5,Yes,96.8,5.9,Fair,2,High School,High,8.0,No,4.0,6,7.9,No,1,7.3,Library,No,High,5,8,7,Kinesthetic,5.5,91
161170,26,Female,Business,5.5,1.2,2.9,Yes,68.6,4.0,Fair,3,Some College,Low,7.3,Yes,2.78,1,3.2,No,2,10.3,Cafe,No,High,1,5,10,Reading,4.0,67
155533,28,Male,Computer Science,6.533809851594424,1.3,0.6,Yes,50.8,4.0,Poor,6,High School,Medium,4.2,No,3.84,1,7.9,No,3,9.7,Co-Learning Group,No,High,10,8,7,Visual,7.0,100
158564,22,Female,Engineering,6.4,2.9,2.2,No,84.9,4.5,Poor,2,Bachelor,Low,6.8,Yes,4.0,6,7.6,No,2,11.6,Quiet Room,No,Low,4,6,9,Visual,7.4,100
150519,21,Male,Psychology,6.0,3.0,2.9,Yes,56.2,8.5,Good,4,High School,Low,9.4,Yes,3.84,5,3.7,No,4,13.0,Library,Yes,Medium,9,3,10,Auditory,7.8,87
123321,25,Other,Engineering,5.1,4.8,1.1,Yes,59.7,5.2,Fair,1,Master,Medium,6.3,No,3.61,4,4.5,No,1,11.2,Quiet Room,Yes,Low,1,1,10,Visual,6.9,86
114745,20,Male,Biology,5.9,1.8,3.2,Yes,61.8,4.8,Fair,7,High School,Low,5.7,Yes,3.44,6,4.0,No,0,11.7,Library,No,High,7,2,10,Visual,8.1,88
138953,16,Other,Biology,0.7,1.9,3.1,Yes,70.9,6.3,Good,2,High School,High,4.5,No,3.31,1,4.5,No,2,6.5,Co-Learning Group,Yes,High,9,1,10,Visual,8.9,80
158886,20,Female,Engineering,3.6,1.0,0.3,No,43.9,8.1,Fair,6,Master,Medium,7.699999999999999,No,4.0,8,9.1,Yes,1,6.2,Library,Yes,High,10,2,10,Visual,8.8,97
118408,16,Female,Biology,3.2,0.6,0.5,Yes,71.0,6.0,Good,6,Master,High,9.3,No,2.58,2,4.3,No,3,4.8,Dorm,No,Medium,10,4,10,Visual,5.5,67
152936,28,Female,Computer Science,3.24225541823267,1.8,0.9,No,99.8,6.1,Good,4,Some College,Low,4.0,No,2.57,5,7.2,No,3,7.4,Library,No,Medium,3,5,10,Kinesthetic,7.1,66
147352,25,Male,Business,5.5,0.1,2.5,Yes,64.7,7.4,Good,4,Master,Medium,5.1,Yes,3.51,2,2.9,No,0,9.3,Dorm,Yes,Low,5,3,10,Visual,9.0,80
176341,17,Male,Biology,6.6,0.2,4.0,Yes,59.8,6.6,Fair,6,PhD,Medium,7.7,No,4.0,6,3.5,No,4,12.6,Cafe,Yes,Low,4,2,10,Visual,6.0,100
100873,20,Other,Arts,2.6,3.0,3.1,Yes,97.7,5.0,Fair,2,High School,Low,8.2,Yes,4.0,1,2.1,No,1,10.6,Cafe,Yes,High,6,9,6,Reading,9.0,95
124404,26,Male,Business,8.5,0.4,3.7,No,86.1,6.7,Good,5,Some College,Medium,8.1,Yes,3.48,3,5.8,No,5,12.9,Dorm,Yes,Medium,4,10,5,Kinesthetic,5.3,94
103288,26,Female,Business,5.2,2.0,3.7,No,76.2,5.8,Good,6,High School,High,3.8,No,2.75,4,6.8,No,1,11.0,Dorm,No,Medium,2,8,7,Auditory,6.6,63
125556,24,Female,Psychology,0.0,3.0,0.4,Yes,88.7,6.7,Good,1,High School,Low,3.3,Yes,3.27,3,3.8,No,2,4.2,Dorm,No,Low,9,9,6,Visual,8.6,79
126772,23,Female,Business,2.0,4.9,3.2,No,44.8,6.9,Fair,1,Bachelor,Medium,10.0,Yes,3.07,1,4.7,No,1,11.6,Cafe,No,Low,4,6,9,Reading,6.1,76
165968,21,Female,Psychology,3.0,4.7,2.3,No,84.5,8.5,Poor,7,Master,Low,8.8,Yes,4.0,4,5.5,No,2,11.9,Dorm,No,Low,2,6,9,Reading,8.9,100
101597,28,Male,Business,3.1,4.9,2.2,Yes,57.7,8.7,Good,4,Some College,High,7.4,No,3.07,1,4.9,No,5,11.2,Co-Learning Group,No,Medium,7,6,9,Reading,3.3,78
163701,28,Female,Business,5.2,3.1,0.5,Yes,44.6,9.7,Good,5,Some College,High,3.5,Yes,3.74,1,8.0,No,3,9.2,Co-Learning Group,No,Low,5,7,8,Reading,7.0,97
176992,27,Other,Psychology,3.8,3.5,1.3,No,96.7,6.7,Good,3,Some College,Medium,1.7,Yes,2.72,3,5.9,No,3,10.0,Cafe,No,Low,4,7,8,Visual,8.3,59
163864,27,Other,Psychology,0.7,0.6,1.4,No,67.7,6.7,Good,3,High School,High,5.8,Yes,3.94,2,3.6,No,4,4.3,Quiet Room,Yes,Medium,5,1,10,Auditory,2.7,100
147060,23,Female,Computer Science,6.27338131175746,1.5,1.0,No,70.4,7.3,Poor,0,PhD,Medium,3.4,Yes,3.53,7,4.3,No,3,10.6,Dorm,Yes,Medium,10,5,10,Kinesthetic,8.9,82
172753,17,Male,Engineering,5.2,3.1,2.8,No,90.7,6.5,Fair,1,Some College,Low,10.0,No,4.0,6,6.6,No,3,12.1,Quiet Room,No,Medium,1,5,10,Visual,6.6,100
127263,17,Male,Psychology,4.0,3.8,1.6,Yes,91.4,8.1,Poor,0,Some College,Medium,8.3,Yes,4.0,4,6.7,No,0,10.8,Library,Yes,Low,9,10,5,Visual,8.0,100
173901,24,Female,Computer Science,5.793765257723941,3.9,2.3,Yes,49.0,7.6,Fair,7,PhD,Medium,5.9,No,4.0,5,9.4,No,5,12.1,Co-Learning Group,Yes,High,2,4,10,Kinesthetic,2.8,98
132163,17,Female,Business,4.0,0.7,1.5,No,54.8,7.2,Good,2,Master,High,6.3,Yes,3.18,8,5.8,No,4,7.9,Dorm,No,High,7,4,10,Visual,5.9,78
148023,21,Other,Arts,6.1,3.5,0.7,No,56.1,7.8,Good,2,PhD,Medium,10.0,No,3.74,6,4.5,No,5,10.3,Dorm,No,Medium,1,10,5,Reading,2.1,90
130588,17,Other,Engineering,3.4,3.1,3.1,Yes,60.1,11.2,Good,0,Bachelor,Low,8.0,No,3.94,1,2.7,No,5,10.2,Cafe,Yes,Medium,4,9,6,Reading,8.3,100
172873,28,Female,Biology,1.6,0.1,0.9,Yes,58.9,5.7,Fair,0,PhD,Low,2.5,No,2.58,3,5.4,No,3,4.2,Cafe,No,High,4,2,10,Kinesthetic,3.0,66
160888,28,Female,Biology,3.1,4.4,0.4,Yes,64.8,5.6,Fair,3,PhD,High,8.5,Yes,3.47,2,1.5,No,2,8.5,Dorm,No,Low,7,10,5,Visual,4.7,90
131274,22,Female,Business,2.5,1.6,2.0,Yes,61.1,6.2,Fair,7,Some College,Low,7.9,No,3.94,5,4.3,No,3,8.1,Dorm,No,High,1,5,10,Visual,1.7,100
108851,20,Female,Engineering,4.7,0.5,3.3,Yes,64.6,5.7,Good,3,Master,Medium,6.4,Yes,4.0,2,2.2,No,2,10.3,Quiet Room,No,Low,1,10,5,Kinesthetic,4.2,100
166268,19,Female,Engineering,7.7,1.2,0.7,No,73.8,8.2,Good,6,Bachelor,Low,8.7,Yes,4.0,6,4.6,No,3,11.3,Library,Yes,Low,4,3,10,Visual,6.6,100
161654,23,Other,Biology,9.0,2.2,1.1,No,62.1,7.1,Fair,0,PhD,Low,1.0,Yes,4.0,8,7.3,No,1,12.9,Quiet Room,Yes,Low,8,4,10,Kinesthetic,1.5,92
128144,24,Female,Arts,4.3,2.2,0.3,Yes,68.3,7.9,Poor,7,PhD,Low,7.0,Yes,4.0,4,7.6,No,1,7.2,Cafe,Yes,Low,7,8,7,Auditory,8.6,97
105867,22,Other,Business,1.8,2.0,2.5,Yes,86.6,7.9,Good,2,Bachelor,High,5.4,No,2.24,7,7.0,No,0,7.0,Dorm,Yes,High,4,2,10,Auditory,7.0,52
114939,28,Female,Psychology,5.4,0.2,0.5,No,80.4,7.6,Fair,6,High School,High,10.0,No,3.36,7,3.6,No,1,7.5,Cafe,Yes,Low,2,7,8,Reading,3.4,92
112845,19,Other,Arts,0.0,1.2,2.1,No,91.4,5.7,Good,7,PhD,High,8.5,No,4.0,1,1.7,No,3,4.2,Cafe,Yes,Low,4,9,6,Reading,5.3,97
130936,21,Male,Psychology,4.8,1.0,0.1,No,87.5,8.0,Fair,3,Some College,High,4.7,Yes,4.0,1,7.7,No,0,7.5,Co-Learning Group,No,Low,6,6,9,Kinesthetic,8.6,100
132551,19,Other,Psychology,2.9,4.5,3.1,Yes,54.5,5.5,Fair,4,Master,Low,7.1,Yes,3.44,6,3.2,No,3,10.9,Cafe,Yes,High,8,7,8,Visual,3.5,92
142327,24,Male,Arts,6.7,4.5,3.6,Yes,73.5,5.7,Fair,7,Some College,Low,6.7,Yes,3.02,1,5.7,No,5,15.6,Library,No,Medium,1,5,10,Auditory,4.0,69
138619,17,Female,Arts,0.3,3.1,2.9,Yes,61.7,7.8,Poor,6,PhD,Low,3.8,Yes,3.91,6,9.3,No,1,7.0,Co-Learning Group,No,High,5,9,6,Kinesthetic,4.4,95
135125,27,Female,Psychology,3.6,3.0,3.4,No,80.3,8.3,Fair,5,High School,Medium,3.2,No,3.47,8,7.2,No,5,10.8,Cafe,Yes,High,3,7,8,Kinesthetic,4.8,85
136278,21,Female,Psychology,5.2,2.7,0.9,No,92.0,9.9,Fair,4,Master,Low,2.4,No,3.63,7,7.4,No,0,9.9,Quiet Room,No,High,7,4,10,Visual,6.6,92
173491,18,Female,Arts,3.5,1.1,0.8,No,83.3,4.0,Good,5,Bachelor,Medium,7.1,Yes,4.0,4,5.6,No,3,6.4,Quiet Room,Yes,Low,8,10,5,Reading,4.0,99
102991,17,Other,Biology,6.5,1.8,0.6,Yes,89.7,6.4,Poor,7,PhD,High,8.6,No,4.0,2,3.6,No,5,9.2,Cafe,No,Medium,2,5,10,Auditory,8.7,95
121768,23,Male,Business,1.6,1.0,3.6,Yes,57.9,7.5,Fair,5,Master,Low,9.8,No,2.82,2,2.2,No,4,7.8,Co-Learning Group,No,Medium,3,1,10,Kinesthetic,5.4,63
147978,28,Male,Psychology,0.0,2.6,1.7,No,76.8,7.3,Fair,5,Master,Medium,4.7,Yes,4.0,8,2.5,No,3,5.9,Library,Yes,High,9,6,9,Visual,3.7,100
103690,24,Female,Business,5.8,0.5,1.2,No,50.4,5.8,Fair,0,Some College,Low,3.0,No,4.0,4,4.2,No,2,8.6,Library,Yes,High,4,3,10,Kinesthetic,5.6,100
106977,23,Other,Computer Science,8.519467759159895,5.0,2.9,Yes,68.8,6.4,Good,6,PhD,High,6.0,Yes,3.21,7,5.5,No,0,18.2,Dorm,Yes,High,4,3,10,Reading,4.5,89
136612,19,Other,Business,4.0,4.9,2.6,No,65.9,9.0,Good,6,High School,High,8.3,Yes,4.0,4,2.3,No,5,12.0,Cafe,Yes,Low,9,7,8,Auditory,2.2,96
133628,16,Other,Biology,6.0,0.2,0.2,No,62.7,8.1,Good,0,PhD,Low,7.1,No,4.0,2,3.7,No,1,8.1,Dorm,No,High,6,1,10,Visual,8.1,100
162079,27,Other,Arts,3.6,3.2,2.0,No,48.3,6.0,Good,7,Master,Low,8.8,Yes,4.0,4,7.6,No,4,10.6,Quiet Room,No,Low,5,4,10,Visual,8.7,99
127845,20,Other,Arts,4.0,2.6,2.9,Yes,69.0,8.5,Fair,4,High School,Medium,7.7,Yes,3.57,4,3.1,No,3,11.4,Quiet Room,Yes,Medium,7,5,10,Auditory,6.4,91
145104,28,Other,Arts,3.4,4.2,2.4,No,53.4,7.7,Good,7,Master,Medium,8.2,Yes,3.87,8,6.0,No,3,10.6,Dorm,No,Medium,2,4,10,Reading,1.2,98
149542,23,Female,Psychology,6.8,1.5,1.2,No,83.7,7.9,Good,7,High School,High,7.5,Yes,3.73,7,4.9,No,0,10.3,Library,Yes,High,3,7,8,Visual,10.0,90
157664,24,Other,Arts,3.8,0.3,3.5,No,55.0,5.9,Good,1,Master,Low,5.6,Yes,2.75,4,2.7,No,2,7.8,Library,No,Low,7,3,10,Kinesthetic,7.1,77
178965,21,Male,Biology,4.7,2.0,3.6,No,67.5,5.7,Good,3,PhD,High,9.3,No,3.63,6,5.5,No,4,10.4,Cafe,No,High,7,6,9,Auditory,9.0,100
122900,27,Other,Biology,3.4,4.4,1.0,Yes,83.6,7.3,Fair,3,PhD,High,4.5,No,4.0,2,2.2,No,0,10.4,Quiet Room,No,High,7,6,9,Auditory,4.5,95
113940,25,Male,Psychology,0.7,3.9,0.1,No,70.9,7.6,Good,3,Bachelor,Medium,8.1,Yes,2.94,1,5.5,No,4,5.6,Co-Learning Group,No,High,5,8,7,Auditory,5.5,79
177079,22,Male,Psychology,5.3,4.9,2.8,Yes,44.1,9.5,Good,0,Some College,Medium,7.1,Yes,4.0,6,3.7,No,5,13.2,Library,No,Low,2,6,9,Reading,3.1,100
